,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
1061,Wallingford School District,"PK, K, g1, g2, g3, g4, g5",N/A,"g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,7,1,7,0.0,0.0,0.0,0.0,"Wallingford, CT"
1067,Waterbury School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"Waterbury, CT"
1068,Waterford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g9, g10, g11, g12","g6, g7, g8",Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,3,11,1,0.0,2.0,0.0,2.0,"Waterford, CT"
1070,Watertown School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Watertown, CT"
1071,Westbrook School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Westbrook, CT"
1072,West Hartford School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"West Hartford, CT"
1078,West Haven School District,"PK, K, g1, g2, g3, g4, g5, g6, g9, g10, g11, g12",N/A,"g7, g8",Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,2,1,12,0.0,0.0,3.0,3.0,"West Haven, CT"
1079,Weston School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Weston, CT"
1080,Westport School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Westport, CT"
1081,Wethersfield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Wethersfield, CT"
1082,Willington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Willington, CT"
1083,Wilton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Wilton, CT"
1085,Winchester School District,"PK, K, g1, g2, g3, g4, g5",g6,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,1,1,7,0.0,0.0,3.0,3.0,"Winchester, CT"
1086,Windham School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,4,10,1,0.0,2.0,0.0,2.0,"Windham, CT"
1087,Windsor School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Windsor, CT"
1088,Windsor Locks School District,"PK, K, g1, g2, g3, g4, g5",N/A,"g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,Alliance,0,7,1,7,0.0,0.0,0.0,0.0,"Windsor Locks, CT"
1089,Wolcott School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Wolcott, CT"
1090,Woodbridge School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Woodbridge, CT"
1091,Woodstock School District,PK,"K, g1, g2, g3, g4","g5, g6, g7, g8",Most/All Grades Hybrid,Public School Districts,"December 7, 2020 - December 11, 2020",2020-12-16T00:00:00.000,,0,4,5,1,0.0,2.0,0.0,2.0,"Woodstock, CT"
1140,Andover School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,8,1,1,1.0,0.0,0.0,1.0,"Andover, CT"
1141,Ansonia School District,PK,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Alliance,1,13,1,1,1.0,0.0,0.0,1.0,"Ansonia, CT"
1142,Ashford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Ashford, CT"
1143,Avon School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Avon, CT"
1146,Barkhamsted School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Barkhamsted, CT"
1147,Berlin School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Berlin, CT"
1148,Bethany School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,8,1,1,1.0,0.0,0.0,1.0,"Bethany, CT"
1149,Bethel School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Bethel, CT"
1151,Bloomfield School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Bloomfield, CT"
1152,Bolton School District,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"Bolton, CT"
1153,Bozrah School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,10,1,1,1.0,0.0,0.0,1.0,"Bozrah, CT"
1154,Branford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Branford, CT"
1155,Bridgeport School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"Bridgeport, CT"
1156,Bristol School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Bristol, CT"
